시군구	도로명코드	도로명	영문도로명	읍면동일련번호	시도명	시군구명	읍면동구분	읍면동코드	읍면동명	상위도로코드	상위도로명	폐지구분	변경이력사유	변경이력정보	영문시도명	영문시군구명	영문읍면동명	고시일자	말소일자
11110	2005001	세종대로	Sejong-daero	00	서울특별시	종로구	2					0			Seoul	Jongno-gu		20100520	
11110	2005001	세종대로	Sejong-daero	01	서울특별시	종로구	1	119	세종로			0			Seoul	Jongno-gu	Sejongno	20100520	
11110	2005001	세종대로	Sejong-daero	02	서울특별시	종로구	1	126	종로1가			0			Seoul	Jongno-gu	Jongno 1(il)-ga	20100520	
11110	2100001	삼일대로	Samil-daero	00	서울특별시	종로구	2					0			Seoul	Jongno-gu		20100422	
11110	2100001	삼일대로	Samil-daero	01	서울특별시	종로구	1	132	운니동			0			Seoul	Jongno-gu	Unni-dong	20100422	
11110	2100001	삼일대로	Samil-daero	02	서울특별시	종로구	1	134	경운동			0			Seoul	Jongno-gu	Gyeongun-dong	20100422	
11110	2100001	삼일대로	Samil-daero	03	서울특별시	종로구	1	135	관철동			0			Seoul	Jongno-gu	Gwancheol-dong	20100422	
11110	2100001	삼일대로	Samil-daero	04	서울특별시	종로구	1	136	인사동			0			Seoul	Jongno-gu	Insa-dong	20100422	
11110	2100001	삼일대로	Samil-daero	05	서울특별시	종로구	1	137	낙원동			0			Seoul	Jongno-gu	Nagwon-dong	20100422	
11110	2100001	삼일대로	Samil-daero	06	서울특별시	종로구	1	138	종로2가			0			Seoul	Jongno-gu	Jongno 2(i)-ga	20100422	
11110	2100002	필운대로	Pirundae-ro	00	서울특별시	종로구	2					0			Seoul	Jongno-gu		20100702	
11110	2100002	필운대로	Pirundae-ro	01	서울특별시	종로구	1	102	신교동			0			Seoul	Jongno-gu	Singyo-dong	20100702	
11110	2100002	필운대로	Pirundae-ro	02	서울특별시	종로구	1	108	통인동			0			Seoul	Jongno-gu	Tongin-dong	20100702	
11110	2100002	필운대로	Pirundae-ro	03	서울특별시	종로구	1	110	누하동			0			Seoul	Jongno-gu	Nuha-dong	20100702	
11110	2100002	필운대로	Pirundae-ro	04	서울특별시	종로구	1	111	옥인동			0			Seoul	Jongno-gu	Ogin-dong	20100702	
11110	2100002	필운대로	Pirundae-ro	05	서울특별시	종로구	1	113	필운동			0			Seoul	Jongno-gu	Pirun-dong	20100702	
11110	3000008	통일로	Tongil-ro	00	서울특별시	종로구	2					0			Seoul	Jongno-gu		20090710	
11110	3000008	통일로	Tongil-ro	01	서울특별시	종로구	1	176	교남동			0			Seoul	Jongno-gu	Gyonam-dong	20090710	
